learning_rate,max_depth,n_estimators,reg_alpha,subsample,Run,Rmse,rsq
243,0.001,6,100,5e-05,0.5,243,2.3465622796470056,-4.908531250102455
244,0.001,6,100,5e-05,0.7,244,2.347314720208316,-4.903557320294166
245,0.001,6,100,5e-05,0.9,245,2.348580532274007,-4.897758909248139
246,0.001,6,100,1e-05,0.5,246,2.3465622796470056,-4.908531250102455
247,0.001,6,100,1e-05,0.7,247,2.347314720208316,-4.903557320294166
248,0.001,6,100,1e-05,0.9,248,2.348580532274007,-4.897758909248139
249,0.001,6,100,1e-06,0.5,249,2.3465622796470056,-4.908531250102455
250,0.001,6,100,1e-06,0.7,250,2.347314720208316,-4.903557320294166
251,0.001,6,100,1e-06,0.9,251,2.348580532274007,-4.897758909248139
252,0.001,6,1000,0.0001,0.5,252,0.47096981941142174,-0.12763198730764658
253,0.001,6,1000,0.0001,0.7,253,0.468555410448675,-0.10769421568876103
254,0.001,6,1000,0.0001,0.9,254,0.4678301370050249,-0.09521347438752636
255,0.001,6,1000,5e-05,0.5,255,0.47096981941142174,-0.12763198730764658
256,0.001,6,1000,5e-05,0.7,256,0.468555410448675,-0.10769421568876103
257,0.001,6,1000,5e-05,0.9,257,0.4678301370050249,-0.09521347438752636
258,0.001,6,1000,1e-05,0.5,258,0.47096981941142174,-0.12763198730764658
259,0.001,6,1000,1e-05,0.7,259,0.468555410448675,-0.10769421568876103
260,0.001,6,1000,1e-05,0.9,260,0.4678301370050249,-0.09521347438752636
261,0.001,6,1000,1e-06,0.5,261,0.47096981941142174,-0.12763198730764658
262,0.001,6,1000,1e-06,0.7,262,0.468555410448675,-0.10769421568876103
263,0.001,6,1000,1e-06,0.9,263,0.4678301370050249,-0.09521347438752636
264,0.001,6,3500,0.0001,0.5,264,0.12821274660760892,0.901280190317849
265,0.001,6,3500,0.0001,0.7,265,0.1298753681289085,0.8993876929361112
266,0.001,6,3500,0.0001,0.9,266,0.13217966254423877,0.8954122574271626
267,0.001,6,3500,5e-05,0.5,267,0.12821274660760892,0.901280190317849
268,0.001,6,3500,5e-05,0.7,268,0.1298753681289085,0.8993876932002778
269,0.001,6,3500,5e-05,0.9,269,0.13217966254423877,0.8954122572169716
270,0.001,6,3500,1e-05,0.5,270,0.12821274660760892,0.901280190317849
271,0.001,6,3500,1e-05,0.7,271,0.1298753681289085,0.8993876932002778
272,0.001,6,3500,1e-05,0.9,272,0.13217966254423877,0.8954122572169716
273,0.001,6,3500,1e-06,0.5,273,0.12821274660760892,0.901280190317849
274,0.001,6,3500,1e-06,0.7,274,0.1298753681289085,0.8993876932002778
275,0.001,6,3500,1e-06,0.9,275,0.13217966254423877,0.8954122572169716
276,0.001,6,5000,0.0001,0.5,276,0.12435147912749973,0.9135015757575741
277,0.001,6,5000,0.0001,0.7,277,0.1264769128738533,0.9096685324713005
278,0.001,6,5000,0.0001,0.9,278,0.12926777450130603,0.9041114900966226
279,0.001,6,5000,5e-05,0.5,279,0.1243514773104649,0.9135015779865102
280,0.001,6,5000,5e-05,0.7,280,0.1264769128738533,0.9096685332925052
281,0.001,6,5000,5e-05,0.9,281,0.12926777450130603,0.9041114902525014
282,0.001,6,5000,1e-05,0.5,282,0.1243514773104649,0.9135015781494149
283,0.001,6,5000,1e-05,0.7,283,0.1264769128738533,0.9096685332925052
284,0.001,6,5000,1e-05,0.9,284,0.12926777450130603,0.9041114904397902
285,0.001,6,5000,1e-06,0.5,285,0.1243514773104649,0.9135015781494149
286,0.001,6,5000,1e-06,0.7,286,0.1264769128738533,0.9096685332925052
287,0.001,6,5000,1e-06,0.9,287,0.12926777450130603,0.9041114904397902
288,0.01,3,100,0.0001,0.5,288,0.45941509331788666,-0.12442636701647714
289,0.01,3,100,0.0001,0.7,289,0.4599435193024518,-0.12030629784265479
290,0.01,3,100,0.0001,0.9,290,0.4593701658931019,-0.11228601576962371
291,0.01,3,100,5e-05,0.5,291,0.45941509331788666,-0.12442636701647714
292,0.01,3,100,5e-05,0.7,292,0.4599435193024518,-0.12030629784265479
293,0.01,3,100,5e-05,0.9,293,0.4593701658931019,-0.11228601576962371
294,0.01,3,100,1e-05,0.5,294,0.45941509331788666,-0.12442636701647714
295,0.01,3,100,1e-05,0.7,295,0.4599435193024518,-0.12030629784265479
296,0.01,3,100,1e-05,0.9,296,0.4593701658931019,-0.11228601576962371
297,0.01,3,100,1e-06,0.5,297,0.45941509331788666,-0.12442636701647714
298,0.01,3,100,1e-06,0.7,298,0.4599435193024518,-0.12030629784265479
299,0.01,3,100,1e-06,0.9,299,0.4593701658931019,-0.11228601576962371
300,0.01,3,1000,0.0001,0.5,300,0.12333519079581425,0.918317718393002
301,0.01,3,1000,0.0001,0.7,301,0.12471402432496102,0.9151861349121309
302,0.01,3,1000,0.0001,0.9,302,0.1257501892995315,0.9107861912467868
303,0.01,3,1000,5e-05,0.5,303,0.12333519079581425,0.918317718393002
304,0.01,3,1000,5e-05,0.7,304,0.12471402432496102,0.9151861355652992
305,0.01,3,1000,5e-05,0.9,305,0.1257501892995315,0.9107861912467868
306,0.01,3,1000,1e-05,0.5,306,0.12333519019964363,0.9183177180459724
307,0.01,3,1000,1e-05,0.7,307,0.12471402432496102,0.9151861355652992
308,0.01,3,1000,1e-05,0.9,308,0.1257501892995315,0.9107861912467868
309,0.01,3,1000,1e-06,0.5,309,0.12333519019964363,0.9183177180459724
310,0.01,3,1000,1e-06,0.7,310,0.12471402432496102,0.9151861355652992
311,0.01,3,1000,1e-06,0.9,311,0.1257501892995315,0.9107861912467868
312,0.01,3,3500,0.0001,0.5,312,0.11914618624291416,0.9240880095092738
313,0.01,3,3500,0.0001,0.7,313,0.12126008341257553,0.9213662119197635
314,0.01,3,3500,0.0001,0.9,314,0.1226236103334261,0.9179713933592213
315,0.01,3,3500,5e-05,0.5,315,0.11914618862739,0.9240880125080073
316,0.01,3,3500,5e-05,0.7,316,0.12126008341257553,0.9213662125127672
317,0.01,3,3500,5e-05,0.9,317,0.1226236103334261,0.9179713933592213
318,0.01,3,3500,1e-05,0.5,318,0.11914618862739,0.9240880123023176
319,0.01,3,3500,1e-05,0.7,319,0.12126008341257553,0.9213662125127672
320,0.01,3,3500,1e-05,0.9,320,0.1226236103334261,0.9179713933592213
321,0.01,3,3500,1e-06,0.5,321,0.11914618862739,0.9240880122767583
322,0.01,3,3500,1e-06,0.7,322,0.12126008341257553,0.9213662125127672
323,0.01,3,3500,1e-06,0.9,323,0.1226236103334261,0.9179713933592213
324,0.01,3,5000,0.0001,0.5,324,0.11962990743096302,0.9239428744474818
325,0.01,3,5000,0.0001,0.7,325,0.12135592420916068,0.9216893683471801
326,0.01,3,5000,0.0001,0.9,326,0.12289304306326541,0.9181653142977904
327,0.01,3,5000,5e-05,0.5,327,0.11962988913122799,0.9239428634473635
328,0.01,3,5000,5e-05,0.7,328,0.12135592420916068,0.9216893688009351
329,0.01,3,5000,5e-05,0.9,329,0.12289304306326541,0.9181653142977904
330,0.01,3,5000,1e-05,0.5,330,0.11962988913122799,0.9239428635558665
331,0.01,3,5000,1e-05,0.7,331,0.1213559259373208,0.9216893739944285
